city,year,weekofyear,total_cases
sj,2011,9,9
sj,2011,10,7
sj,2011,11,7
sj,2011,12,7
sj,2011,13,5
sj,2011,14,6
sj,2011,15,7
sj,2011,16,6
sj,2011,17,6
sj,2011,18,5
sj,2011,19,5
sj,2011,20,5
sj,2011,21,8
sj,2011,22,14
sj,2011,23,13
sj,2011,24,24
sj,2011,25,32
sj,2011,26,16
sj,2011,27,22
sj,2011,28,24
sj,2011,29,20
sj,2011,30,38
sj,2011,31,26
sj,2011,32,50
sj,2011,33,34
sj,2011,34,51
sj,2011,35,40
sj,2011,36,41
sj,2011,37,47
sj,2011,38,48
sj,2011,39,46
sj,2011,40,48
sj,2011,41,40
sj,2011,42,34
sj,2011,43,35
sj,2011,44,45
sj,2011,45,37
sj,2011,46,36
sj,2011,47,31
sj,2011,48,30
sj,2011,49,25
sj,2011,50,29
sj,2011,51,22
sj,2012,52,17
sj,2012,1,19
sj,2012,2,16
sj,2012,3,14
sj,2012,4,13
sj,2012,5,11
sj,2012,6,12
sj,2012,7,10
sj,2012,8,11
sj,2012,9,11
sj,2012,10,9
sj,2012,11,8
sj,2012,12,5
sj,2012,13,5
sj,2012,14,5
sj,2012,15,5
sj,2012,16,5
sj,2012,17,7
sj,2012,18,7
sj,2012,19,6
sj,2012,20,11
sj,2012,21,7
sj,2012,22,9
sj,2012,23,9
sj,2012,24,26
sj,2012,25,32
sj,2012,26,32
sj,2012,27,27
sj,2012,28,20
sj,2012,29,26
sj,2012,30,29
sj,2012,31,29
sj,2012,32,35
sj,2012,33,35
sj,2012,34,35
sj,2012,35,33
sj,2012,36,42
sj,2012,37,48
sj,2012,38,42
sj,2012,39,45
sj,2012,40,48
sj,2012,41,40
sj,2012,42,41
sj,2012,43,48
sj,2012,44,54
sj,2012,45,40
sj,2012,46,45
sj,2012,47,38
sj,2012,48,37
sj,2012,49,30
sj,2012,50,25
sj,2012,51,23
sj,2013,1,18
sj,2013,2,16
sj,2013,3,16
sj,2013,4,15
sj,2013,5,13
sj,2013,6,11
sj,2013,7,11
sj,2013,8,11
sj,2013,9,11
sj,2013,10,13
sj,2013,11,8
sj,2013,12,6
sj,2013,13,7
sj,2013,14,7
sj,2013,15,8
sj,2013,16,8
sj,2013,17,5
iq,2010,26,5
iq,2010,27,2
iq,2010,28,6
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,4
iq,2010,33,3
iq,2010,34,3
iq,2010,35,6
iq,2010,36,4
iq,2010,37,4
iq,2010,38,8
iq,2010,39,5
iq,2010,40,8
iq,2010,41,8
iq,2010,42,7
iq,2010,43,8
iq,2010,44,6
iq,2010,45,15
iq,2010,46,6
iq,2010,47,8
iq,2010,48,9
iq,2010,49,6
iq,2010,50,7
iq,2010,51,3
iq,2011,52,8
iq,2011,1,16
iq,2011,2,13
iq,2011,3,12
iq,2011,4,12
iq,2011,5,12
iq,2011,6,12
iq,2011,7,12
iq,2011,8,9
iq,2011,9,9
iq,2011,10,10
iq,2011,11,7
iq,2011,12,8
iq,2011,13,7
iq,2011,14,6
iq,2011,15,6
iq,2011,16,6
iq,2011,17,6
iq,2011,18,7
iq,2011,19,3
iq,2011,20,3
iq,2011,21,4
iq,2011,22,3
iq,2011,23,4
iq,2011,24,4
iq,2011,25,3
iq,2011,26,5
iq,2011,27,3
iq,2011,28,2
iq,2011,29,4
iq,2011,30,2
iq,2011,31,3
iq,2011,32,5
iq,2011,33,4
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,4
iq,2011,38,9
iq,2011,39,4
iq,2011,40,6
iq,2011,41,5
iq,2011,42,5
iq,2011,43,10
iq,2011,44,8
iq,2011,45,6
iq,2011,46,9
iq,2011,47,5
iq,2011,48,6
iq,2011,49,6
iq,2011,50,10
iq,2011,51,6
iq,2012,52,10
iq,2012,1,11
iq,2012,2,12
iq,2012,3,14
iq,2012,4,12
iq,2012,5,12
iq,2012,6,13
iq,2012,7,9
iq,2012,8,9
iq,2012,9,6
iq,2012,10,7
iq,2012,11,5
iq,2012,12,5
iq,2012,13,9
iq,2012,14,4
iq,2012,15,6
iq,2012,16,7
iq,2012,17,5
iq,2012,18,6
iq,2012,19,3
iq,2012,20,5
iq,2012,21,4
iq,2012,22,2
iq,2012,23,4
iq,2012,24,3
iq,2012,25,5
iq,2012,26,3
iq,2012,27,5
iq,2012,28,3
iq,2012,29,3
iq,2012,30,4
iq,2012,31,3
iq,2012,32,3
iq,2012,33,4
iq,2012,34,4
iq,2012,35,4
iq,2012,36,5
iq,2012,37,5
iq,2012,38,4
iq,2012,39,7
iq,2012,40,6
iq,2012,41,9
iq,2012,42,5
iq,2012,43,6
iq,2012,44,8
iq,2012,45,7
iq,2012,46,7
iq,2012,47,10
iq,2012,48,7
iq,2012,49,7
iq,2012,50,7
iq,2012,51,5
iq,2013,1,10
iq,2013,2,14
iq,2013,3,14
iq,2013,4,13
iq,2013,5,14
iq,2013,6,14
iq,2013,7,14
iq,2013,8,9
iq,2013,9,9
iq,2013,10,9
iq,2013,11,9
iq,2013,12,9
iq,2013,13,9
iq,2013,14,9
iq,2013,15,7
iq,2013,16,7
iq,2013,17,6
iq,2013,18,4
iq,2013,19,6
iq,2013,20,5
iq,2013,21,3
iq,2013,22,6
iq,2013,23,4
iq,2013,24,3
iq,2013,25,4
iq,2013,26,3
