city,year,weekofyear,total_cases
sj,2011,27,28
sj,2011,28,28
sj,2011,29,22
sj,2011,30,36
sj,2011,31,27
sj,2011,32,40
sj,2011,33,38
sj,2011,34,45
sj,2011,35,43
sj,2011,36,46
sj,2011,37,42
sj,2011,38,41
sj,2011,39,39
sj,2011,40,46
sj,2011,41,45
sj,2011,42,36
sj,2011,43,22
sj,2011,44,38
sj,2011,45,33
sj,2011,46,25
sj,2011,47,32
sj,2011,48,26
sj,2011,49,21
sj,2011,50,29
sj,2011,51,19
sj,2012,52,14
sj,2012,1,17
sj,2012,2,12
sj,2012,3,14
sj,2012,4,13
sj,2012,5,11
sj,2012,6,14
sj,2012,7,8
sj,2012,8,12
sj,2012,9,7
sj,2012,10,8
sj,2012,11,7
sj,2012,12,7
sj,2012,13,10
sj,2012,14,11
sj,2012,15,9
sj,2012,16,11
sj,2012,17,7
sj,2012,18,15
sj,2012,19,10
sj,2012,20,18
sj,2012,21,14
sj,2012,22,11
sj,2012,23,15
sj,2012,24,19
sj,2012,25,27
sj,2012,26,24
sj,2012,27,22
sj,2012,28,25
sj,2012,29,24
sj,2012,30,31
sj,2012,31,32
sj,2012,32,31
sj,2012,33,39
sj,2012,34,39
sj,2012,35,35
sj,2012,36,43
sj,2012,37,54
sj,2012,38,44
sj,2012,39,43
sj,2012,40,47
sj,2012,41,39
sj,2012,42,47
sj,2012,43,48
sj,2012,44,50
sj,2012,45,40
sj,2012,46,41
sj,2012,47,37
sj,2012,48,23
sj,2012,49,25
sj,2012,50,25
sj,2012,51,23
sj,2013,1,16
sj,2013,2,14
sj,2013,3,12
sj,2013,4,13
sj,2013,5,14
sj,2013,6,13
sj,2013,7,12
sj,2013,8,9
sj,2013,9,8
sj,2013,10,9
sj,2013,11,10
sj,2013,12,6
sj,2013,13,8
sj,2013,14,9
sj,2013,15,10
sj,2013,16,11
sj,2013,17,9
iq,2010,26,6
iq,2010,27,4
iq,2010,28,5
iq,2010,29,5
iq,2010,30,4
iq,2010,31,6
iq,2010,32,5
iq,2010,33,4
iq,2010,34,6
iq,2010,35,7
iq,2010,36,7
iq,2010,37,5
iq,2010,38,10
iq,2010,39,6
iq,2010,40,11
iq,2010,41,7
iq,2010,42,10
iq,2010,43,5
iq,2010,44,8
iq,2010,45,9
iq,2010,46,7
iq,2010,47,7
iq,2010,48,10
iq,2010,49,8
iq,2010,50,8
iq,2010,51,7
iq,2011,52,10
iq,2011,1,12
iq,2011,2,9
iq,2011,3,10
iq,2011,4,8
iq,2011,5,10
iq,2011,6,10
iq,2011,7,9
iq,2011,8,12
iq,2011,9,9
iq,2011,10,8
iq,2011,11,9
iq,2011,12,9
iq,2011,13,8
iq,2011,14,9
iq,2011,15,7
iq,2011,16,7
iq,2011,17,6
iq,2011,18,7
iq,2011,19,3
iq,2011,20,4
iq,2011,21,6
iq,2011,22,3
iq,2011,23,3
iq,2011,24,6
iq,2011,25,3
iq,2011,26,3
iq,2011,27,4
iq,2011,28,3
iq,2011,29,5
iq,2011,30,3
iq,2011,31,5
iq,2011,32,6
iq,2011,33,4
iq,2011,34,4
iq,2011,35,4
iq,2011,36,3
iq,2011,37,8
iq,2011,38,7
iq,2011,39,8
iq,2011,40,6
iq,2011,41,6
iq,2011,42,8
iq,2011,43,8
iq,2011,44,7
iq,2011,45,6
iq,2011,46,8
iq,2011,47,6
iq,2011,48,5
iq,2011,49,8
iq,2011,50,11
iq,2011,51,12
iq,2012,52,10
iq,2012,1,10
iq,2012,2,10
iq,2012,3,9
iq,2012,4,8
iq,2012,5,10
iq,2012,6,11
iq,2012,7,9
iq,2012,8,11
iq,2012,9,6
iq,2012,10,9
iq,2012,11,4
iq,2012,12,6
iq,2012,13,8
iq,2012,14,5
iq,2012,15,8
iq,2012,16,7
iq,2012,17,9
iq,2012,18,7
iq,2012,19,3
iq,2012,20,8
iq,2012,21,4
iq,2012,22,4
iq,2012,23,5
iq,2012,24,4
iq,2012,25,4
iq,2012,26,4
iq,2012,27,3
iq,2012,28,4
iq,2012,29,6
iq,2012,30,5
iq,2012,31,2
iq,2012,32,5
iq,2012,33,5
iq,2012,34,7
iq,2012,35,6
iq,2012,36,4
iq,2012,37,6
iq,2012,38,6
iq,2012,39,8
iq,2012,40,7
iq,2012,41,7
iq,2012,42,6
iq,2012,43,8
iq,2012,44,8
iq,2012,45,7
iq,2012,46,9
iq,2012,47,9
iq,2012,48,9
iq,2012,49,7
iq,2012,50,6
iq,2012,51,7
iq,2013,1,9
iq,2013,2,9
iq,2013,3,10
iq,2013,4,9
iq,2013,5,10
iq,2013,6,11
iq,2013,7,9
iq,2013,8,9
iq,2013,9,10
iq,2013,10,9
iq,2013,11,9
iq,2013,12,11
iq,2013,13,10
iq,2013,14,8
iq,2013,15,6
iq,2013,16,7
iq,2013,17,9
iq,2013,18,5
iq,2013,19,7
iq,2013,20,8
iq,2013,21,4
iq,2013,22,7
iq,2013,23,6
iq,2013,24,3
iq,2013,25,4
iq,2013,26,4
